issue_key,title,description_text,type,priority,status,resolution,story_point,comment_text,project_name
PROJ-101,"Implement user authentication module","As a user, I want to log in with my credentials so that I can access my personalized dashboard securely.",Story,Major,Closed,Done,8,"Have we considered OAuth2 integration? The current implementation should support token-based auth for API consumers.",AuthService
PROJ-102,"Add password reset functionality","As a user, I want to reset my password via email so that I can regain access if I forget my credentials.",Story,Major,Closed,Done,5,"Make sure the reset token expires after 24 hours. Also verify the email template renders correctly on mobile clients.",AuthService
PROJ-103,"Implement role-based access control","As an admin, I want to assign roles to users so that I can control access to different system features.",Story,Major,Closed,Done,13,"Consider using a permission matrix rather than simple role hierarchy. This gives more flexibility for custom roles later.",AuthService
PROJ-104,"Add API rate limiting","As a system administrator, I want to limit API requests per user so that the system remains stable under heavy usage.",Story,Major,Open,Unresolved,5,"We need to decide between sliding window and token bucket algorithms. Token bucket is more forgiving for burst traffic.",APIGateway
PROJ-105,"Create API documentation endpoint","As a developer, I want auto-generated API docs so that I can understand available endpoints without reading source code.",Story,Major,Closed,Done,5,"Swagger/OpenAPI 3.0 format preferred. Include request/response examples for each endpoint.",APIGateway
PROJ-106,"Implement webhook notification system","As an integrator, I want to receive webhook notifications for key events so that I can build automated workflows.",Story,Major,"In Progress",Unresolved,13,"Consider retry logic with exponential backoff for failed webhook deliveries. Also need a dead letter queue for permanent failures.",APIGateway
PROJ-107,"Design responsive dashboard layout","As a user, I want a responsive dashboard so that I can use the application on both desktop and mobile devices.",Story,Major,Closed,Done,8,"Mobile-first approach recommended. Use CSS Grid for the main layout and Flexbox for component-level arrangements.",WebPortal
PROJ-108,"Implement dark mode toggle","As a user, I want to switch between light and dark themes so that I can use the app comfortably in different environments.",Story,Minor,Closed,Done,3,"Store preference in localStorage and respect system prefers-color-scheme media query as default.",WebPortal
PROJ-109,"Add keyboard navigation support","As a user with accessibility needs, I want full keyboard navigation so that I can use the application without a mouse.",Story,Major,Open,Unresolved,8,"WCAG 2.1 AA compliance is the minimum target. Focus management for modal dialogs is critical.",WebPortal
PROJ-110,"Create reusable form validation library","As a developer, I want a shared validation library so that form validation is consistent across all modules.",Story,Major,Closed,Done,8,"Support both synchronous and async validators. Schema-based validation (like Zod or Yup patterns) would be ideal.",WebPortal
PROJ-111,"Add export to PDF functionality","As a user, I want to export reports as PDF so that I can share them with stakeholders who dont have system access.",Story,Major,"In Progress",Unresolved,8,"Server-side rendering preferred for consistent output. Consider Puppeteer or wkhtmltopdf for the generation pipeline.",WebPortal
PROJ-112,"Implement search with autocomplete","As a user, I want search suggestions as I type so that I can find items quickly without knowing exact names.",Story,Major,Closed,Done,5,"Debounce input at 300ms minimum. Cache recent results client-side to reduce API calls for repeated searches.",WebPortal
PROJ-113,"Set up CI/CD pipeline","As a developer, I want automated build and deployment so that code changes are tested and deployed consistently.",Story,Major,Closed,Done,8,"GitHub Actions recommended. Include lint/test/build/deploy stages. Gate deployments on test passage.",DevOps
PROJ-114,"Implement database migration system","As a developer, I want versioned database migrations so that schema changes are reproducible across environments.",Story,Major,Closed,Done,5,"Migration files should be idempotent. Include both up and down migrations for rollback capability.",DevOps
PROJ-115,"Configure monitoring and alerting","As a SRE, I want system monitoring with alerts so that I can respond to issues before users are impacted.",Story,Major,Open,Unresolved,8,"Prometheus + Grafana stack. Alert on: error rate > 1% and p99 latency > 2s and disk usage > 80%.",DevOps
PROJ-116,"Implement blue-green deployment","As a DevOps engineer, I want zero-downtime deployments so that users are not affected during releases.",Story,Major,Open,Unresolved,13,"Start with simple approach: spin up new version and swap load balancer target. Health check endpoint is prerequisite.",DevOps
PROJ-117,"Create data import wizard","As an admin, I want a guided import process so that I can migrate data from legacy systems without technical knowledge.",Story,Major,"In Progress",Unresolved,13,"Support CSV and JSON formats initially. Validate data before import and provide detailed error report for invalid rows.",DataPlatform
PROJ-118,"Implement data versioning","As a data analyst, I want to see historical versions of records so that I can track changes over time.",Story,Major,Closed,Done,8,"Event sourcing pattern for critical entities. Store diffs rather than full snapshots to minimize storage costs.",DataPlatform
PROJ-119,"Add bulk operations API","As a power user, I want to perform bulk updates so that I can manage large datasets efficiently.",Story,Major,Closed,Done,5,"Batch size limit of 1000 per request. Use database transactions for atomicity. Return detailed per-item results.",DataPlatform
PROJ-120,"Implement data archival policy","As a system admin, I want automated data archival so that the primary database remains performant.",Story,Minor,Open,Unresolved,8,"Archive records older than 2 years to cold storage. Maintain queryable index for archived data.",DataPlatform
PROJ-121,"Create notification preferences system","As a user, I want to control which notifications I receive so that I am not overwhelmed by irrelevant alerts.",Story,Major,Closed,Done,5,"Per-channel preferences (email/push/in-app). Default to all enabled. Batch digest option for low-priority notifications.",DataPlatform
PROJ-122,"Implement full-text search","As a user, I want to search across all text fields so that I can find relevant records regardless of which field contains the match.",Story,Major,"In Progress",Unresolved,8,"Elasticsearch for the search index. Keep it as a read-optimized projection synced from primary DB via change data capture.",DataPlatform
PROJ-123,"Add data quality dashboard","As a data steward, I want visibility into data quality metrics so that I can identify and address data issues proactively.",Story,Major,Open,Unresolved,8,"Track completeness and consistency and timeliness. Flag records failing validation rules. Weekly trend reports.",DataPlatform
PROJ-124,"Implement multi-language support","As a user, I want the application in my preferred language so that I can use it without language barriers.",Story,Major,"In Progress",Unresolved,13,"Use i18n framework with JSON translation files. Support RTL layouts for Arabic/Hebrew. Pluralization rules vary by language.",Internationalization
PROJ-125,"Create translation management workflow","As a translator, I want a structured workflow for managing translations so that I can efficiently maintain language packs.",Story,Major,Open,Unresolved,8,"Crowdin or Lokalise integration for professional translation management. Auto-detect untranslated strings in CI.",Internationalization
PROJ-126,"Add currency formatting support","As a user, I want monetary values displayed in my local currency format so that financial data is immediately understandable.",Story,Minor,Closed,Done,3,"Intl.NumberFormat handles most cases. Store amounts in smallest unit (cents) with currency code. Format at display only.",Internationalization
PROJ-127,"Design plugin architecture","As a developer, I want to extend the system via plugins so that custom functionality can be added without modifying core code.",Story,Major,"In Progress",Unresolved,13,"Event-driven plugin system. Plugins register hooks for lifecycle events. Sandboxed execution for security.",PluginFramework
PROJ-128,"Create plugin marketplace","As an admin, I want to browse and install plugins from a marketplace so that I can extend functionality easily.",Story,Major,Open,Unresolved,13,"Start with curated list. Include version compatibility checks. Support auto-update with rollback capability.",PluginFramework
PROJ-129,"Implement plugin sandboxing","As a security engineer, I want plugins to run in isolation so that a malicious plugin cannot compromise the core system.",Story,Major,Open,Unresolved,8,"VM-level isolation for server plugins. Content Security Policy for frontend plugins. API allowlist per plugin.",PluginFramework
PROJ-130,"Add plugin configuration UI","As an admin, I want a visual interface for configuring plugins so that I do not need to edit configuration files manually.",Story,Minor,Closed,Done,5,"Schema-driven form generation. Plugin authors define config schema and UI renders appropriate controls automatically.",PluginFramework
